Name,institution,City,Country,activity,personal website
Pollyanna von Knorring,Naturhistoriska Riksmuseet,Stockholm,Sweden,active,
Mary Parrish,Smithsonian?s National Museum of Natural History,Washington DC,USA,retired,
Julia Rouaux,,La Plata,Argentina,active,https://juliarouaux.com/
Oscar Sanisidro,Museo Nacional de Ciencias Naturales,Madrid,Spain,active,
Claire Dalby,,,UK,active,
Jan Vriesn,,,USA,active,https://www.janvriesen.com/
Sergey Krasovskiy,,,Ukraine,active,
Jiri Svoboda,,,Czechia,active,http://www.paleoart.cz/
